campaign_id,campaign_name,marketing_objective,target_audience,allocated_budget
1001,PBD Podcast — Entrepreneur Prospecting Q1,PROSPECTING,Entrepreneurs 25-45,"$45,000"
1002,Brand Partnership — Goldman Sachs Promo,Awareness,Finance Professionals,28000
1003,VT Summit 2026 — Early Bird Tickets,CONSIDERATION,Business Owners,"$12,500"
1004,Valuetainment Course — Sales Mastery Launch,Conversion,Sales Reps & Founders,9500
1005,PBD Podcast — Retargeting Warm Audience,retargeting,Site Visitors 30 Days,"$18,000"
1006,Consulting — CEO Bootcamp Prospecting,Prospect,C-Suite Executives,33000
1007,VT Summit 2026 — Last Chance Push,Convert,Abandoned Cart Users,"$8,200"
1008,Brand Partnership — FX Trading Sponsor,Brand Awareness,Investors & Traders,22000
1009,Course — Leadership 101 Evergreen,Consideration,Mid-Level Managers,"$6,000"
1010,PBD Podcast — Cold Audience Scale,Prospecting,Business Interest Broad,55000
1011,Consulting — Done-For-You Retarget,Retarget,Proposal Page Visitors,"$14,000"
1012,VT Summit — VIP Experience Upsell,conversion,Ticket Holders,4500
1013,Course — Patrick Library Bundle,Consider,Existing Course Students,"$7,800"
1014,Brand Partnership — Protein Sponsor Q2,Awareness,Fitness Entrepreneurs,19000
1015,PBD Podcast — YouTube Remarketing,Retarget,YouTube Viewers 60 Days,"$11,500"
1016,VT Summit 2027 — Save the Date,Brand Awareness,Past Attendees,
1017,Course — Negotiation Masterclass Pre-Launch,Consideration,Email Subscribers,"$5,000"
1018,Consulting — Group Coaching Q3,Prospect,SMB Founders,
1019,Brand Partnership — Book Launch Collab,Brand Awareness,Readers & Educators,16000
1020,PBD Podcast — Hispanic Market Expansion,Prospect,Spanish-Speaking Entrepreneurs,"$38,000"
